window_index,horizon_start_hour,horizon_end_hour,executed_until_hour,initial_soc,soc_after_execution,planned_terminal_soc,objective,runtime_seconds,mip_gap,status
9018,216432,216599,216455,1041.3100000000002,1528.1960000000001,1041.3100000000002,10080.152058973476,0.00657200813293457,0.0,2
9019,216456,216623,216479,1528.1960000000001,1623.775636363637,1528.1960000000001,11041.278183905933,0.006649971008300781,0.0,2
9020,216480,216647,216503,1623.775636363637,1750.1834545454549,1623.775636363637,11902.31356460972,0.01029515266418457,0.0,2
9021,216504,216671,216527,1750.1834545454549,2400.0,1750.1834545454549,20125.065932134974,0.01114797592163086,0.0,2
9022,216528,216695,216551,2400.0,1895.6542727272729,2400.0,20329.32119818959,0.005767107009887695,0.0,2
9023,216552,216719,216575,1895.6542727272729,2251.141,1895.6542727272729,21595.097011568007,0.006923198699951172,0.0,2
9024,216576,216743,216599,2251.141,2167.7693636363642,2251.141,20851.190598385416,0.007817983627319336,0.0,2
9025,216600,216767,216623,2167.7693636363642,1776.4062727272726,2167.7693636363642,20975.58614004874,0.007256031036376953,0.0,2
9026,216624,216791,216647,1776.4062727272726,2002.7234545454546,1776.4062727272726,20169.111426307965,0.009837150573730469,0.0,2
9027,216648,216815,216671,2002.7234545454546,297.9901818181826,2002.7234545454546,18121.382507686973,0.009708881378173828,0.0,2
9028,216672,216839,216695,297.9901818181826,1999.4771818181825,297.9901818181826,11807.119422591817,0.0038399696350097656,0.0,2
9029,216696,216863,216719,1999.4771818181825,2181.5150000000003,1999.4771818181825,9953.521533505342,0.008578062057495117,0.0,2
9030,216720,216887,216743,2181.5150000000003,2291.7755454545454,2181.5150000000003,9099.512162677642,0.00922393798828125,0.0,2
9031,216744,216911,216767,2291.7755454545454,1174.813272727273,2291.7755454545454,10672.236038995441,0.009621858596801758,0.0,2
9032,216768,216935,216791,1174.813272727273,1792.0802727272733,1174.813272727273,8638.082302151915,0.0074770450592041016,0.0,2
9033,216792,216959,216815,1792.0802727272733,988.8091818181824,1792.0802727272733,9730.687181902227,0.008929014205932617,0.0,2
9034,216816,216983,216839,988.8091818181824,0.0,988.8091818181824,8684.154997767671,0.00956416130065918,0.0,2
9035,216840,217007,216863,0.0,80.51599999999999,0.0,5371.275905336904,0.0044841766357421875,0.0,2
9036,216864,217031,216887,80.51599999999999,134.499,80.51599999999999,6340.565678817904,0.004126071929931641,0.0,2
9037,216888,217055,216911,134.499,1998.0580000000004,134.499,7186.929175199333,0.005441188812255859,0.0,2
9038,216912,217079,216935,1998.0580000000004,2400.0,1998.0580000000004,6322.087495498764,0.010944128036499023,0.0,2
9039,216936,217103,216959,2400.0,1490.909090909091,2400.0,7050.070357367903,0.005087852478027344,0.0,2
9040,216960,217127,216983,1490.909090909091,1595.751090909091,1490.909090909091,7160.697719179325,0.006761074066162109,0.0,2
9041,216984,217151,217007,1595.751090909091,0.0,1595.751090909091,9521.677962709258,0.006957054138183594,0.0,2
9042,217008,217175,217031,0.0,1219.8399999999992,0.0,9329.391731144771,0.004707813262939453,0.0,2
9043,217032,217199,217055,1219.8399999999992,2331.3489999999997,1219.8399999999992,9169.983090808542,0.010074853897094727,0.0,2
9044,217056,217223,217079,2331.3489999999997,2061.5286363636355,2331.3489999999997,9338.138432270398,0.010055065155029297,0.0,2
9045,217080,217247,217103,2061.5286363636355,2366.840272727272,2061.5286363636355,12039.36118437003,0.010541915893554688,0.0,2
9046,217104,217271,217127,2366.840272727272,1474.9943636363628,2366.840272727272,13368.051052447176,0.011476993560791016,0.0,2
9047,217128,217295,217151,1474.9943636363628,702.8240909090905,1474.9943636363628,13828.621199170153,0.00722193717956543,0.0,2
9048,217152,217319,217175,702.8240909090905,1157.0390909090904,702.8240909090905,15313.437836442976,0.007344961166381836,0.0,2
9049,217176,217343,217199,1157.0390909090904,0.0,1157.0390909090904,16974.75496173202,0.007509946823120117,0.0,2
9050,217200,217367,217223,0.0,988.053,0.0,18054.46297341875,0.004851102828979492,0.0,2
9051,217224,217391,217247,988.053,1275.7516363636369,988.053,30258.02370431051,0.007297039031982422,0.0,2
9052,217248,217415,217271,1275.7516363636369,1697.3593636363642,1275.7516363636369,29752.571157452712,0.006793975830078125,0.0,2
9053,217272,217439,217295,1697.3593636363642,1749.1611818181823,1697.3593636363642,27771.06895412512,0.010063886642456055,0.0,2
9054,217296,217463,217319,1749.1611818181823,1692.4312727272736,1749.1611818181823,27938.68164490637,0.010016918182373047,0.0,2
9055,217320,217487,217343,1692.4312727272736,2286.270636363636,1692.4312727272736,25260.415136410906,0.009214162826538086,0.0,2
9056,217344,217511,217367,2286.270636363636,1645.287909090909,2286.270636363636,37453.10319998896,0.009408950805664062,0.0,2
9057,217368,217535,217391,1645.287909090909,818.5828181818181,1645.287909090909,36878.69683028172,0.0063359737396240234,0.0,2
9058,217392,217559,217415,818.5828181818181,0.0,818.5828181818181,24961.598795420603,0.004124164581298828,0.0,2
9059,217416,217583,217439,0.0,1381.469,0.0,25216.886141927604,0.004569053649902344,0.0,2
9060,217440,217607,217463,1381.469,0.0,1381.469,32858.104541648136,0.006949901580810547,0.0,2
9061,217464,217631,217487,0.0,1480.073,0.0,31880.969435490493,0.004564046859741211,0.0,2
9062,217488,217655,217511,1480.073,1085.113,1480.073,31606.66187458207,0.006721973419189453,0.0,2
9063,217512,217679,217535,1085.113,2065.473,1085.113,20512.190126200927,0.006641864776611328,0.0,2
9064,217536,217703,217559,2065.473,2065.473,2065.473,21754.042972949966,0.006822109222412109,0.0,2
9065,217560,217727,217583,2065.473,2400.0,2065.473,20877.652123614465,0.006855010986328125,0.0,2
9066,217584,217751,217607,2400.0,343.50536363636365,2400.0,18339.961677708307,0.004588127136230469,0.0,2
9067,217608,217775,217631,343.50536363636365,32.260000000000005,343.50536363636365,12740.851434990234,0.004826068878173828,0.0,2
9068,217632,217799,217655,32.260000000000005,1232.865,32.260000000000005,15121.132031843144,0.004438877105712891,0.0,2
9069,217656,217823,217679,1232.865,2180.5041818181817,1232.865,14428.998402108642,0.0073070526123046875,0.0,2
9070,217680,217847,217703,2180.5041818181817,2088.010636363636,2180.5041818181817,11823.912149127233,0.006631135940551758,0.0,2
9071,217704,217871,217727,2088.010636363636,2218.181818181818,2088.010636363636,11169.900083782111,0.006742954254150391,0.0,2
9072,217728,217895,217751,2218.181818181818,0.0,2218.181818181818,13123.395259693401,0.006886959075927734,0.0,2
9073,217752,217919,217775,0.0,1026.7029999999997,0.0,12621.689150994684,0.004492998123168945,0.0,2
9074,217776,217943,217799,1026.7029999999997,1103.5860909090907,1026.7029999999997,17510.110397934342,0.006742000579833984,0.0,2
9075,217800,217967,217823,1103.5860909090907,1143.635909090909,1103.5860909090907,17698.623836245803,0.006942033767700195,0.0,2
9076,217824,217991,217847,1143.635909090909,1012.7835454545454,1143.635909090909,19751.49117784244,0.010802030563354492,0.0,2
9077,217848,218015,217871,1012.7835454545454,2192.7690000000007,1012.7835454545454,19600.252227677753,0.010324954986572266,0.0,2
9078,217872,218039,217895,2192.7690000000007,2072.3410000000003,2192.7690000000007,18668.076934451397,0.009530067443847656,0.0,2
9079,217896,218063,217919,2072.3410000000003,2400.0,2072.3410000000003,15858.49273566783,0.009118080139160156,0.0,2
9080,217920,218087,217943,2400.0,218.18181818181858,2400.0,15101.881385117787,0.004359006881713867,0.0,2
9081,217944,218111,217967,218.18181818181858,0.0,218.18181818181858,8497.179469069477,0.0040400028228759766,0.0,2
9082,217968,218135,217991,0.0,797.1908181818181,0.0,5905.818828005256,0.0037620067596435547,0.0,2
9083,217992,218159,218015,797.1908181818181,1911.067818181818,797.1908181818181,4775.265795991872,0.006637096405029297,0.0,2
9084,218016,218183,218039,1911.067818181818,2207.8316363636354,1911.067818181818,4831.073999878844,0.00857686996459961,0.0,2
9085,218040,218207,218063,2207.8316363636354,1988.587454545454,2207.8316363636354,6211.694818212046,0.005757808685302734,0.0,2
9086,218064,218231,218087,1988.587454545454,1914.1482727272723,1988.587454545454,6669.450257129327,0.006142139434814453,0.0,2
9087,218088,218255,218111,1914.1482727272723,1789.8690909090906,1914.1482727272723,11272.431353026843,0.0067138671875,0.0,2
9088,218112,218279,218135,1789.8690909090906,1264.653545454545,1789.8690909090906,15390.123055174896,0.007243156433105469,0.0,2
9089,218136,218303,218159,1264.653545454545,1636.3631818181811,1264.653545454545,17814.809382247546,0.00727391242980957,0.0,2
