datetime,speed,power,nwpdb,pluswind,rnn_preds
2018-07-08 16:00:00,2.4612754823375576,0,0.0,0.0,0.0
2018-07-08 17:00:00,2.1580679753409906,0,0.0,0.0,0.0
2018-07-08 18:00:00,1.7177223657098193,1,0.0,0.0,0.0
2018-07-08 19:00:00,2.14305740238299,2,0.0,0.0,0.0
2018-07-08 20:00:00,2.1628321249587463,1,0.0,0.0,0.0
2018-07-08 21:00:00,1.511083523763591,0,0.0,0.0,0.0
2018-07-08 22:00:00,2.061266873775542,0,0.0,0.0,0.0
2018-07-08 23:00:00,1.6975067168366718,0,0.0,0.0,0.0
2018-07-09 00:00:00,1.4143853985103036,0,0.0,0.0,0.0
2018-07-09 01:00:00,0.9205742641982928,0,0.0,0.0,0.0
2018-07-09 02:00:00,1.6106033666779285,0,0.0,0.0,0.0
2018-07-09 03:00:00,1.9779512120010427,0,0.0,0.0,0.0
2018-07-09 04:00:00,3.3679229452811175,0,0.0,2.663404396,0.0
2018-07-09 05:00:00,4.2648067366804225,0,0.89279178,6.837110651,0.0
2018-07-09 06:00:00,4.130034804872619,0,1.448597433,6.082564226,0.0
2018-07-09 07:00:00,4.49469934736635,0,0.417699291,8.23815497,0.0
2018-07-09 08:00:00,3.336540464129764,0,2.574101089,2.551373501,0.0
2018-07-09 09:00:00,3.295347342581525,0,0.173419264,2.407557983,0.0
2018-07-09 10:00:00,1.8834367031985872,0,0.202651876,0.0,0.0
2018-07-09 11:00:00,2.2912411928579477,0,0.0,0.0,0.0
2018-07-09 12:00:00,2.053575380196672,0,0.0,0.0,0.0
2018-07-09 13:00:00,2.8228486424354067,0,0.0,1.002353418,0.0
2018-07-09 14:00:00,1.929867566767938,0,0.0,0.0,0.0
2018-07-09 15:00:00,5.397041475016693,0,0.0,0.0,0.0
2018-07-09 16:00:00,1.3127182445852883,0,0.0,0.0,0.0
2018-07-09 17:00:00,1.5622684906057578,0,0.0,0.0,0.0
2018-07-09 18:00:00,1.8049944855961113,0,0.0,0.0,0.0
2018-07-09 19:00:00,1.7391362048090635,0,0.0,0.0,0.0
2018-07-09 20:00:00,2.2731205927825497,0,0.0,0.0,0.0
2018-07-09 21:00:00,1.4748670802868231,0,0.0,0.0,0.0
2018-07-09 22:00:00,2.1280847149739697,0,0.0,0.0,0.0
2018-07-09 23:00:00,2.310780267471497,0,0.0,0.0,0.0
2018-07-10 00:00:00,2.550321308248418,0,0.0,0.0,0.0
2018-07-10 01:00:00,1.1960919712673126,0,0.0,0.0,0.0
2018-07-10 02:00:00,1.3370459604804303,0,0.0,0.0,0.0
2018-07-10 03:00:00,2.105383794059486,0,0.0,0.0,0.0
2018-07-10 04:00:00,2.4553072061399783,1,0.0,0.0,0.0
2018-07-10 05:00:00,1.7083050656053134,0,0.0,0.0,0.0
2018-07-10 06:00:00,4.4523316550926255,2,0.0,7.968857136,0.0
2018-07-10 07:00:00,6.4932851329012795,6,1.631554983,27.6234882,0.0
2018-07-10 08:00:00,11.876525462836112,85,20.61071616,104.0,31.20841
2018-07-10 09:00:00,12.226483570766352,101,50.5176072,104.0,64.020546
2018-07-10 10:00:00,13.273616280279686,101,81.55840226,104.0,83.875114
2018-07-10 11:00:00,12.777698418417591,100,95.85931034,104.0,89.58585
2018-07-10 12:00:00,12.505393790877564,101,95.4962069,104.0,87.67269
2018-07-10 13:00:00,11.743197393679717,103,95.4962069,103.9801908,83.26268
2018-07-10 14:00:00,9.552423905024238,101,95.85931034,91.78134648,72.45294
2018-07-10 15:00:00,9.382920541257828,82,91.5640499,86.48840818,62.927177
2018-07-10 16:00:00,9.403995455482672,82,80.48225595,87.13579677,59.958153
2018-07-10 17:00:00,9.19852472720084,76,77.86584052,81.08530101,61.111286
2018-07-10 18:00:00,8.265383129536357,77,67.32555959,58.443242,58.975086
2018-07-10 19:00:00,7.446417319758336,76,51.4860563,42.36397973,53.801888
2018-07-10 20:00:00,6.278005885690367,68,42.00784142,24.83404114,43.753468
2018-07-10 21:00:00,6.39694937970767,53,29.37318939,26.35198521,37.719513
2018-07-10 22:00:00,6.713905043846188,48,22.61325167,30.68071468,37.48252
2018-07-10 23:00:00,5.044386759320699,44,18.6352099,12.21564947,30.331049
2018-07-11 00:00:00,4.872635897544368,45,9.726335825,10.87336537,22.163895
2018-07-11 01:00:00,4.849352394755235,32,14.437049,10.69853615,17.107058
2018-07-11 02:00:00,3.8889432583471586,10,13.53046378,4.849787995,10.784632
2018-07-11 03:00:00,3.1935545494653135,1,5.117888769,2.067673371,3.5315073
2018-07-11 04:00:00,2.250647398693651,1,1.241736448,0.0,0.0
2018-07-11 05:00:00,1.5836568552407877,0,0.0,0.0,0.0
2018-07-11 06:00:00,0.9467645731929932,0,0.0,0.0,0.0
2018-07-11 07:00:00,2.2209931283998197,0,0.0,0.0,0.0
2018-07-11 08:00:00,3.4325500209927755,0,0.0,2.900913072,0.0
2018-07-11 09:00:00,3.8308664855692576,0,0.660307372,4.5744689,0.0
2018-07-11 10:00:00,5.192233583213402,4,1.839533371,13.44709672,0.0
2018-07-11 11:00:00,6.227006904057045,8,8.479083388,24.20052086,7.846858
2018-07-11 12:00:00,6.334410030736941,4,17.11096107,25.54677151,14.3518095
2018-07-11 13:00:00,5.816709172825828,0,19.80893516,19.46992435,14.021953
2018-07-11 14:00:00,5.26033998119134,0,13.57176523,14.03860512,9.644337
2018-07-11 15:00:00,4.474119244272309,0,9.5812309,8.106706512,2.963078
2018-07-11 16:00:00,5.397041475016693,0,4.660355619,0.0,2.3381846
2018-07-11 17:00:00,1.0988158712759546,0,4.660355619,0.0,0.0
2018-07-11 18:00:00,2.0128637225426966,0,0.0,0.0,0.0
2018-07-11 19:00:00,2.8963028104145723,1,0.0,1.19386358,0.0
2018-07-11 20:00:00,2.511459668456606,0,0.121760445,0.0,0.0
2018-07-11 21:00:00,2.510618111688087,0,0.0,0.0,0.0
