hour,datetime,wind_generation_mw,electricity_price_lmp,price,delivered_power_mw,gurobi_direct,stored_energy_mw,released_energy_mw,net_storage_power_mw,soc_mwh,gurobi_storage_end,gurobi_curtailment,gurobi_mode_binary_charge,user_load_zonal
69,2020-01-08 21:00:00,215.302,18.896153846153847,0.7532931464027626,215.302,215.302,0.0,0.0,0.0,977.798181818182,977.798181818182,0.0,0.0,1104.143616
70,2020-01-08 22:00:00,215.406,29.95615384615385,1.1941988601816724,215.406,215.406,0.0,0.0,0.0,977.798181818182,977.798181818182,0.0,0.0,1117.817307
71,2020-01-08 23:00:00,215.37,19.101666666666667,0.7614858929505854,215.37,215.37,0.0,0.0,0.0,977.798181818182,977.798181818182,0.0,-0.0,1191.736355
72,2020-01-09 00:00:00,215.333,32.607499999999995,1.2998944902392224,215.333,215.333,0.0,0.0,0.0,977.798181818182,977.798181818182,0.0,0.0,1203.310396
73,2020-01-09 01:00:00,215.317,18.433333333333337,0.7348428562981831,215.317,215.317,0.0,0.0,0.0,977.798181818182,977.798181818182,0.0,0.0,1205.411631
74,2020-01-09 02:00:00,215.308,18.313333333333336,0.7300590691685747,215.308,215.308,0.0,0.0,0.0,977.798181818182,977.798181818182,0.0,0.0,1192.635225
75,2020-01-09 03:00:00,214.915,21.738333333333333,0.8665963268261484,214.915,214.915,0.0,0.0,0.0,977.798181818182,977.798181818182,0.0,-0.0,1138.574419
76,2020-01-09 04:00:00,212.372,27.933333333333337,1.1135593373921835,212.372,212.372,0.0,0.0,0.0,977.798181818182,977.798181818182,0.0,0.0,1109.252974
77,2020-01-09 05:00:00,188.033,26.4675,1.055124048774258,188.033,188.033,0.0,0.0,0.0,977.798181818182,977.798181818182,0.0,1.0,1105.905063
78,2020-01-09 06:00:00,175.954,19.131666666666664,0.7626818397329875,175.954,175.954,0.0,0.0,0.0,977.798181818182,977.798181818182,0.0,0.0,1110.921868
79,2020-01-09 07:00:00,153.181,33.744166666666665,1.34520758499468,249.0,153.181,0.0,95.819,95.819,977.798181818182,803.5818181818183,0.0,-0.0,1129.652798
80,2020-01-09 08:00:00,116.015,18.455833333333334,0.7357398163849846,116.015,116.015,0.0,0.0,0.0,803.5818181818183,803.5818181818183,0.0,-0.0,1156.991569
81,2020-01-09 09:00:00,107.52,19.339166666666667,0.7709538049779355,107.52,107.52,0.0,0.0,0.0,803.5818181818183,803.5818181818183,0.0,-0.0,1201.617707
82,2020-01-09 10:00:00,103.217,28.905833333333337,1.152327945588385,103.217,103.217,0.0,0.0,0.0,803.5818181818183,803.5818181818183,0.0,-0.0,1280.6253
83,2020-01-09 11:00:00,93.205,23.905,0.952970261110745,93.205,93.205,0.0,0.0,0.0,803.5818181818183,803.5818181818183,0.0,-0.0,1410.33017
84,2020-01-09 12:00:00,81.259,31.9,1.2716900786209062,81.259,81.259,0.0,0.0,0.0,803.5818181818183,803.5818181818183,0.0,-0.0,1472.926551
85,2020-01-09 13:00:00,85.406,33.11083333333334,1.3199598195884137,86.94295000000012,85.406,0.0,1.5369500000001153,1.5369500000001153,803.5818181818183,800.7873636363636,0.0,-0.0,1424.934024
86,2020-01-09 14:00:00,66.898,22.0025,0.8771273026600781,66.898,66.898,0.0,0.0,0.0,800.7873636363636,800.7873636363636,0.0,-0.0,1342.090562
87,2020-01-09 15:00:00,72.823,33.194166666666675,1.3232818939839752,172.82299999999998,72.823,0.0,100.0,100.0,800.7873636363636,618.9691818181818,0.0,-0.0,1272.140669
88,2020-01-09 16:00:00,72.894,18.727500000000003,0.7465697789145149,72.894,72.894,0.0,0.0,0.0,618.9691818181818,618.9691818181818,0.0,-0.0,1208.806769
