power_generated,price,optimal_release,optimal_direct,optimal_charge,optimal_discharge_before_rte,optimal_storage,baseload_release,optimal_curtailment
126.332,1.2100673595909948,126.332,126.332,0.0,0.0,-0.0,118.99310714285714,0.0
184.401,1.2769227252235837,184.401,184.401,0.0,0.0,-0.0,118.99310714285714,0.0
223.278,1.0397263816370572,223.278,223.278,0.0,0.0,-0.0,118.99310714285714,0.0
233.133,0.9807519796353303,233.133,233.133,0.0,0.0,-0.0,118.99310714285714,0.0
235.027,0.8414035552859034,235.027,235.027,0.0,0.0,0.0,118.99310714285714,0.0
235.176,0.711529997324142,235.176,235.176,0.0,0.0,-0.0,118.99310714285714,0.0
235.182,0.7340217362257015,235.182,235.182,0.0,0.0,-0.0,118.99310714285714,0.0
235.185,0.7196850447623904,235.185,235.185,0.0,0.0,-0.0,118.99310714285714,0.0
235.178,0.6972439059483482,210.0561818181818,210.0561818181818,25.121818181818195,0.0,-0.0,118.99310714285714,0.0
235.179,0.7044459850716822,235.179,235.179,0.0,0.0,25.121818181818195,118.99310714285714,0.0
235.183,0.7976597796269648,235.183,235.183,0.0,0.0,25.121818181818195,118.99310714285714,0.0
235.183,2.1233736392393645,249.0,235.183,0.0,25.121818181818192,25.121818181818195,118.99310714285714,0.0
235.183,0.9865962897436094,235.183,235.183,0.0,0.0,-0.0,118.99310714285714,0.0
235.178,1.1133410756272013,235.178,235.178,0.0,0.0,-0.0,118.99310714285714,0.0
235.152,1.1164108142699338,235.152,235.152,0.0,0.0,-0.0,118.99310714285714,0.0
234.326,0.9195933405224277,234.326,234.326,0.0,0.0,0.0,118.99310714285714,0.0
234.668,0.9337318483096287,234.668,234.668,0.0,0.0,-0.0,118.99310714285714,0.0
234.981,0.9231353466486576,234.981,234.981,0.0,0.0,-0.0,118.99310714285714,0.0
235.147,1.2111004447111455,235.147,235.147,0.0,0.0,-0.0,118.99310714285714,0.0
235.146,0.6800356595184147,235.146,235.146,-0.0,0.0,-0.0,118.99310714285714,0.0
235.175,0.6604070422355577,235.175,235.175,0.0,-0.0,0.0,118.99310714285714,0.0
235.183,0.6011079563389261,235.183,235.183,0.0,-0.0,0.0,118.99310714285714,0.0
