Date,Time,Power
20180205,2000,78.503
20180205,2100,112.559
20180205,2200,70.355
20180205,2300,30.074
20180206,0,23.25
20180206,100,78.957
20180206,200,107.389
20180206,300,122.621
20180206,400,113.482
20180206,500,124.364
20180206,600,120.216
20180206,700,106.517
20180206,800,86.913
20180206,900,65.066
20180206,1000,83.06
20180206,1100,65.619
20180206,1200,37.962
20180206,1300,24.819
20180206,1400,28.905
20180206,1500,30.064
20180206,1600,23.602
20180206,1700,11.5
20180206,1800,5.548
20180206,1900,8.749
20180206,2000,12.237
20180206,2100,24.312
20180206,2200,49.685
20180206,2300,55.675
20180207,0,38.837
20180207,100,46.094
20180207,200,76.814
20180207,300,92.217
20180207,400,92.648
20180207,500,85.548
20180207,600,91.719
20180207,700,86.495
20180207,800,76.591
20180207,900,69.715
20180207,1000,107.468
20180207,1100,71.653
20180207,1200,29.135
20180207,1300,18.018
20180207,1400,5.389
20180207,1500,1.049
20180207,1600,0.779
20180207,1700,0.006
20180207,1800,0
20180207,1900,0
20180207,2000,0
20180207,2100,0.21
20180207,2200,0.348
20180207,2300,0.726
20180208,0,1.677
20180208,100,1.971
20180208,200,2.481
20180208,300,5.302
20180208,400,19.983
20180208,500,36.184
20180208,600,53.416
20180208,700,50.369
20180208,800,41.403
20180208,900,45.731
20180208,1000,12.063
20180208,1100,5.795
20180208,1200,6.944
20180208,1300,6.09
20180208,1400,18.516
20180208,1500,35.003
20180208,1600,53.989
20180208,1700,77.935
20180208,1800,98.388
20180208,1900,159.442
20180208,2000,206.435
20180208,2100,208.687
20180208,2200,214.517
20180208,2300,216.251
20180209,0,215.98
20180209,100,228.517
20180209,200,217.999
20180209,300,218.059
20180209,400,218.149
20180209,500,217.799
20180209,600,217.443
20180209,700,217.327
20180209,800,216.347
20180209,900,206.592
20180209,1000,177.971
20180209,1100,159.551
20180209,1200,128.121
20180209,1300,124.769
20180209,1400,123.36
20180209,1500,91.599
20180209,1600,70.667
20180209,1700,51.987
20180209,1800,88.279
20180209,1900,138.179
20180209,2000,201.903
20180209,2100,101.042
20180209,2200,6.785
20180209,2300,69.462
20180210,0,80.438
20180210,100,83.359
20180210,200,115.894
20180210,300,160.794
20180210,400,206.93
20180210,500,191.853
20180210,600,229.524
20180210,700,215.498
20180210,800,164.742
20180210,900,97.004
20180210,1000,108.585
20180210,1100,74.448
20180210,1200,0.463
20180210,1300,0.31
20180210,1400,0.098
20180210,1500,0.039
20180210,1600,0.083
20180210,1700,3.33
20180210,1800,4.947
20180210,1900,9.891
20180210,2000,22.466
20180210,2100,46.482
20180210,2200,78.003
20180210,2300,75.968
20180211,0,101.313
20180211,100,182.596
20180211,200,204.923
20180211,300,201.584
20180211,400,193.956
20180211,500,178.125
20180211,600,110.004
20180211,700,98.181
20180211,800,76.879
20180211,900,69.882
20180211,1000,87.139
20180211,1100,113.532
20180211,1200,72.456
20180211,1300,51.185
20180211,1400,29.75
20180211,1500,20.739
20180211,1600,7.061
20180211,1700,5.031
20180211,1800,3.255
20180211,1900,2.809
20180211,2000,1.722
20180211,2100,3.271
20180211,2200,3.993
20180211,2300,5.904
20180212,0,6.852
20180212,100,4.81
20180212,200,1.931
20180212,300,1.498
20180212,400,0.411
20180212,500,1.262
20180212,600,3.167
20180212,700,4.053
20180212,800,2.798
20180212,900,0.143
20180212,1000,8.504
20180212,1100,8.546
20180212,1200,13.575
20180212,1300,20.093
20180212,1400,13.505
20180212,1500,18.551
20180212,1600,12.96
20180212,1700,23.177
20180212,1800,48.208
20180212,1900,79.594
20180212,2000,118.505
20180212,2100,90.667
20180212,2200,63.085
20180212,2300,66.276
20180213,0,66.053
20180213,100,62.293
20180213,200,56.056
20180213,300,53.134
20180213,400,31.116
20180213,500,11.52
20180213,600,5.687
20180213,700,6.511
20180213,800,6.897
20180213,900,12.256
20180213,1000,6.742
20180213,1100,7.851
20180213,1200,13.616
20180213,1300,20.283
20180213,1400,39.549
20180213,1500,20.735
20180213,1600,19.997
20180213,1700,19.05
20180213,1800,12.735
20180213,1900,27.708
20180213,2000,46.779
20180213,2100,87.108
20180213,2200,130.812
20180213,2300,159.819
20180214,0,182.862
20180214,100,174.123
20180214,200,199.23
20180214,300,199.954
20180214,400,183.103
20180214,500,177.694
20180214,600,177.638
20180214,700,185.089
20180214,800,162.973
20180214,900,148.797
20180214,1000,165.702
20180214,1100,139.593
20180214,1200,124.742
20180214,1300,110.922
20180214,1400,117.847
20180214,1500,135.406
20180214,1600,141.912
20180214,1700,154.807
20180214,1800,174.567
20180214,1900,204.514
20180214,2000,229.666
20180214,2100,218.102
20180214,2200,229.303
20180214,2300,229.187
20180215,0,216.67
20180215,100,215.146
20180215,200,205.554
20180215,300,183.085
20180215,400,173.068
20180215,500,154.935
20180215,600,146.316
20180215,700,167.02
20180215,800,165.204
20180215,900,176.917
20180215,1000,199.9
20180215,1100,182.909
20180215,1200,174.676
20180215,1300,172.601
20180215,1400,162.157
20180215,1500,146.423
20180215,1600,145.838
20180215,1700,165.25
20180215,1800,174.234
20180215,1900,177.279
20180215,2000,176.165
20180215,2100,152.72
20180215,2200,161.397
20180215,2300,166.307
20180216,0,132.066
20180216,100,90.769
20180216,200,96.37
20180216,300,61.95
20180216,400,129.823
20180216,500,231.74
20180216,600,231.744
20180216,700,231.743
20180216,800,231.543
20180216,900,231.335
20180216,1000,231.623
20180216,1100,231.152
20180216,1200,208.016
20180216,1300,166.569
20180216,1400,118.823
20180216,1500,81.143
20180216,1600,63.343
20180216,1700,47.119
20180216,1800,24.144
20180216,1900,19.991
20180216,2000,12.236
20180216,2100,5.504
20180216,2200,1.454
20180216,2300,0
20180217,0,0
20180217,100,0
20180217,200,0.428
20180217,300,0
20180217,400,5.758
20180217,500,53.223
20180217,600,146.103
20180217,700,166.691
20180217,800,175.552
20180217,900,130.283
20180217,1000,115.847
20180217,1100,101.609
20180217,1200,68.688
20180217,1300,58.686
20180217,1400,60.384
20180217,1500,55.93
20180217,1600,72.259
20180217,1700,78.042
20180217,1800,70.398
20180217,1900,64.454
20180217,2000,53.815
20180217,2100,36.185
20180217,2200,29.316
20180217,2300,22.821
20180218,0,0
20180218,100,0
20180218,200,0
20180218,300,0
20180218,400,0
20180218,500,0
20180218,600,0
20180218,700,0
20180218,800,0
20180218,900,159.563
