,date,hour,minute,lmp
370,05/24/2018 ,16,05,35.22
371,03/09/2018 ,05,45,8.23
372,05/05/2018 ,02,05,18.45
373,12/29/2018 ,09,40,34.8
374,09/19/2018 ,23,45,29.21
375,06/30/2018 ,03,40,19.45
376,01/26/2018 ,14,00,15.65
377,08/02/2018 ,08,25,20.47
378,01/15/2018 ,08,00,18.26
379,10/25/2018 ,07,10,32.16
380,03/31/2018 ,08,40,14.42
381,02/05/2018 ,20,00,33.95
382,04/02/2018 ,04,45,21.77
383,05/23/2018 ,01,35,3.65
384,12/13/2018 ,09,25,23.83
385,06/03/2018 ,12,45,27.49
386,07/04/2018 ,02,30,20.7
387,02/18/2018 ,19,05,17.01
388,08/30/2018 ,06,05,18.83
389,01/08/2018 ,21,55,18.38
390,01/03/2018 ,11,05,67.54
391,10/25/2018 ,19,50,40.03
392,10/03/2018 ,16,25,76.9
393,03/25/2018 ,16,15,18.1
394,09/27/2018 ,00,55,20.17
395,07/13/2018 ,23,30,19.91
396,05/10/2018 ,15,40,2.44
397,04/11/2018 ,14,35,-6.72
398,02/16/2018 ,14,45,19.31
399,09/10/2018 ,19,20,25.25
400,06/02/2018 ,08,10,18.34
401,01/05/2018 ,16,30,22.76
402,09/11/2018 ,06,05,20.02
403,06/23/2018 ,13,30,31.99
404,05/22/2018 ,00,50,17.45
405,07/06/2018 ,04,40,18.27
406,10/06/2018 ,20,05,34.16
407,08/12/2018 ,10,40,20.88
408,08/16/2018 ,18,30,38.22
409,12/12/2018 ,07,40,34.96
410,05/06/2018 ,21,15,17.86
411,08/25/2018 ,04,30,14.84
412,11/16/2018 ,21,45,7.35
413,09/13/2018 ,23,15,19.58
414,07/19/2018 ,03,45,11.77
415,12/11/2018 ,11,25,21.79
416,03/31/2018 ,14,05,16.46
417,12/19/2018 ,02,55,22.77
418,10/01/2018 ,05,00,19.13
419,12/07/2018 ,03,40,29.16
420,11/02/2018 ,19,10,22.03
421,03/18/2018 ,08,55,19.07
422,11/10/2018 ,16,45,18.92
423,09/15/2018 ,06,15,20.06
424,07/10/2018 ,00,20,19.1
425,10/14/2018 ,01,25,20.89
426,04/03/2018 ,15,20,-0.38
427,01/13/2018 ,12,50,23.84
428,03/26/2018 ,01,00,-0.15
429,03/01/2018 ,11,50,19.38
430,07/09/2018 ,02,15,17.16
431,06/06/2018 ,06,55,16.78
432,10/21/2018 ,22,50,26.29
433,02/25/2018 ,19,05,19.52
434,05/17/2018 ,06,35,18.54
435,12/23/2018 ,07,15,21.43
436,08/30/2018 ,08,10,20.0
437,01/31/2018 ,15,00,18.22
438,07/22/2018 ,19,20,38.76
439,04/12/2018 ,14,00,3.12
440,07/10/2018 ,22,45,20.02
441,08/25/2018 ,01,15,17.27
442,08/15/2018 ,16,45,52.92
443,08/22/2018 ,10,50,27.72
444,11/12/2018 ,21,15,29.79
445,06/19/2018 ,21,30,20.15
446,04/05/2018 ,13,00,19.79
447,04/01/2018 ,00,40,16.82
448,05/09/2018 ,20,00,20.45
449,10/25/2018 ,12,35,29.56
450,10/31/2018 ,04,15,19.79
451,07/09/2018 ,10,45,29.46
452,03/15/2018 ,15,20,11.54
453,03/21/2018 ,07,05,25.26
454,10/16/2018 ,06,40,20.7
455,11/09/2018 ,06,20,27.28
456,07/02/2018 ,18,55,28.75
457,06/11/2018 ,05,30,21.13
458,07/13/2018 ,03,50,15.29
459,01/14/2018 ,03,20,16.0
460,03/25/2018 ,15,05,18.34
461,11/15/2018 ,04,35,34.39
462,08/23/2018 ,20,20,33.08
463,08/23/2018 ,02,10,19.4
464,11/03/2018 ,07,20,2.73
465,05/14/2018 ,09,55,3.93
466,08/20/2018 ,16,20,65.61
467,09/18/2018 ,15,35,23.74
468,12/14/2018 ,04,00,12.31
469,02/23/2018 ,20,10,22.57
470,03/20/2018 ,01,15,15.36
471,07/16/2018 ,17,40,39.82
472,04/14/2018 ,20,45,21.06
473,11/17/2018 ,05,30,24.72
474,08/17/2018 ,21,50,31.47
475,04/11/2018 ,03,15,-10.78
476,04/25/2018 ,11,30,-0.35
477,11/06/2018 ,13,30,97.28
478,05/12/2018 ,22,10,32.68
479,12/26/2018 ,23,30,20.06
480,11/02/2018 ,22,40,13.92
481,08/27/2018 ,22,40,25.07
482,12/19/2018 ,09,30,34.01
483,08/09/2018 ,23,10,26.92
484,04/28/2018 ,05,00,16.7
485,11/08/2018 ,05,40,33.5
486,04/21/2018 ,19,20,-0.12
487,01/15/2018 ,00,40,16.5
488,04/24/2018 ,15,00,30.87
489,08/27/2018 ,04,40,11.93
490,07/02/2018 ,09,15,22.42
491,02/21/2018 ,08,15,25.02
492,06/06/2018 ,02,00,16.51
493,08/20/2018 ,21,00,37.36
494,03/25/2018 ,03,00,15.76
495,05/30/2018 ,03,15,16.8
496,04/30/2018 ,09,55,-0.29
497,01/18/2018 ,00,45,21.41
498,01/13/2018 ,08,55,35.6
499,08/02/2018 ,10,25,28.04
500,11/05/2018 ,05,45,19.2
501,01/13/2018 ,05,50,23.02
502,08/19/2018 ,18,45,53.07
503,12/13/2018 ,11,25,26.95
504,06/10/2018 ,13,00,26.0
505,06/09/2018 ,06,40,18.54
506,09/09/2018 ,10,50,20.62
507,11/04/2018 ,04,20,19.27
508,03/07/2018 ,12,20,19.52
509,07/25/2018 ,12,55,59.47
510,03/10/2018 ,18,25,24.92
511,10/18/2018 ,20,25,35.91
512,11/16/2018 ,15,35,24.42
513,06/11/2018 ,13,25,25.58
514,11/23/2018 ,18,35,32.26
515,05/11/2018 ,04,50,-0.38
516,05/15/2018 ,07,00,19.0
517,03/10/2018 ,15,20,27.38
518,03/03/2018 ,19,15,10.58
519,08/26/2018 ,01,55,17.72
520,08/27/2018 ,08,45,17.06
521,11/19/2018 ,16,10,31.51
522,07/13/2018 ,17,40,28.47
523,04/13/2018 ,00,35,-3.6
524,06/28/2018 ,01,25,17.31
525,01/28/2018 ,11,20,29.28
526,04/18/2018 ,08,25,-0.47
527,01/02/2018 ,02,10,27.26
528,08/17/2018 ,09,20,21.54
529,09/04/2018 ,07,00,21.82
530,09/01/2018 ,02,30,20.02
531,12/08/2018 ,23,00,40.78
532,01/30/2018 ,13,30,18.07
533,09/03/2018 ,09,25,20.14
534,01/15/2018 ,23,10,0.0
535,10/01/2018 ,16,25,41.85
536,04/02/2018 ,14,00,41.2
537,02/17/2018 ,14,15,18.27
538,06/21/2018 ,21,30,27.68
539,07/11/2018 ,11,30,29.54
540,12/07/2018 ,21,35,31.81
541,04/01/2018 ,21,15,19.4
542,06/16/2018 ,01,45,17.2
543,05/28/2018 ,13,20,31.07
544,01/12/2018 ,20,30,19.92
545,04/29/2018 ,12,55,3.01
546,02/02/2018 ,10,15,20.98
547,02/11/2018 ,03,50,19.43
548,11/13/2018 ,14,25,22.46
549,08/01/2018 ,08,40,20.15
550,06/26/2018 ,11,10,12.21
551,08/17/2018 ,17,00,37.89
552,06/22/2018 ,03,10,16.15
553,09/04/2018 ,00,05,19.15
554,12/17/2018 ,00,00,27.55
555,01/30/2018 ,14,35,17.33
556,02/23/2018 ,16,40,21.17
557,07/25/2018 ,00,05,20.79
558,05/05/2018 ,13,40,27.86
559,04/14/2018 ,16,15,-1.49
560,11/04/2018 ,13,25,24.57
561,02/01/2018 ,16,00,17.12
562,12/07/2018 ,20,35,33.4
563,08/28/2018 ,02,25,13.89
564,07/31/2018 ,23,45,19.3
565,08/24/2018 ,04,10,17.52
566,01/27/2018 ,23,00,19.12
567,11/15/2018 ,23,25,20.94
568,01/31/2018 ,20,15,17.96
569,07/24/2018 ,20,00,33.98
570,06/05/2018 ,22,35,22.26
571,07/18/2018 ,21,55,23.49
572,04/18/2018 ,04,00,12.24
573,08/19/2018 ,04,10,18.51
574,07/19/2018 ,12,00,32.11
575,07/12/2018 ,01,20,18.12
576,09/07/2018 ,23,15,21.11
577,08/27/2018 ,08,55,16.02
578,12/19/2018 ,08,20,27.87
579,03/03/2018 ,10,50,10.98
580,04/28/2018 ,16,30,55.38
581,02/18/2018 ,02,30,18.7
582,07/04/2018 ,19,05,18.11
583,11/16/2018 ,00,35,21.1
584,06/17/2018 ,17,25,30.52
585,08/24/2018 ,18,55,34.03
586,09/09/2018 ,23,50,19.2
587,05/21/2018 ,16,30,34.9
588,05/04/2018 ,02,25,15.92
589,08/14/2018 ,19,30,28.89
590,09/01/2018 ,02,20,19.96
591,02/22/2018 ,10,50,28.86
592,11/21/2018 ,03,30,25.47
593,09/14/2018 ,17,50,27.78
594,07/01/2018 ,11,50,32.05
595,05/22/2018 ,00,55,17.49
596,08/21/2018 ,20,35,30.39
597,03/29/2018 ,06,10,17.79
598,09/13/2018 ,10,50,21.06
599,08/18/2018 ,06,10,19.9
600,10/04/2018 ,03,00,19.8
601,10/24/2018 ,04,55,19.59
602,06/17/2018 ,15,00,29.73
603,04/07/2018 ,20,45,27.42
604,03/25/2018 ,02,00,16.43
605,01/01/2018 ,06,10,35.12
606,01/27/2018 ,14,50,19.5
607,04/29/2018 ,14,30,6.93
608,04/22/2018 ,07,10,17.3
609,09/13/2018 ,07,25,19.87
610,10/31/2018 ,23,25,18.85
611,02/15/2018 ,07,45,15.64
612,04/21/2018 ,13,40,9.03
613,12/26/2018 ,10,30,11.95
614,02/25/2018 ,14,25,14.01
615,09/24/2018 ,10,00,22.8
616,05/09/2018 ,06,10,14.0
617,08/26/2018 ,07,30,16.9
618,12/27/2018 ,19,20,24.68
619,05/18/2018 ,10,10,8.4
620,12/18/2018 ,03,15,24.11
621,02/17/2018 ,22,45,20.08
622,10/01/2018 ,02,45,18.52
623,05/24/2018 ,19,00,31.84
624,09/07/2018 ,00,45,20.6
625,12/01/2018 ,18,15,37.26
626,08/17/2018 ,23,35,23.36
627,01/23/2018 ,10,55,24.23
628,07/02/2018 ,08,25,22.92
629,10/11/2018 ,21,15,37.06
630,10/25/2018 ,11,00,38.8
631,10/04/2018 ,16,55,57.67
632,01/31/2018 ,22,30,8.94
633,01/09/2018 ,06,15,18.12
634,03/12/2018 ,03,00,16.67
635,03/18/2018 ,14,35,18.26
636,10/06/2018 ,22,25,33.13
637,03/09/2018 ,14,00,18.74
638,05/07/2018 ,15,00,3.25
639,11/12/2018 ,12,15,8.41
640,06/15/2018 ,14,05,26.29
641,12/13/2018 ,17,40,21.05
642,01/30/2018 ,00,25,18.51
643,04/18/2018 ,12,05,-11.84
644,02/14/2018 ,01,55,18.91
645,09/07/2018 ,12,40,1023.85
646,08/16/2018 ,13,00,50.49
647,12/13/2018 ,13,05,25.46
648,06/24/2018 ,21,35,21.96
649,09/30/2018 ,10,10,19.61
650,09/08/2018 ,04,00,19.22
651,08/03/2018 ,12,40,24.18
652,06/26/2018 ,01,45,14.62
653,07/08/2018 ,13,20,29.39
654,12/26/2018 ,08,30,14.16
655,05/14/2018 ,18,10,21.14
656,06/15/2018 ,10,40,19.67
657,12/02/2018 ,17,00,48.73
658,04/16/2018 ,16,05,-1.77
659,11/21/2018 ,02,25,21.92
660,02/08/2018 ,21,05,13.27
661,11/06/2018 ,08,05,75.0
662,04/09/2018 ,08,35,22.85
663,09/09/2018 ,16,40,21.26
664,03/01/2018 ,17,35,19.9
665,01/27/2018 ,06,10,16.57
666,01/14/2018 ,22,50,18.58
667,11/14/2018 ,19,10,44.16
668,01/01/2018 ,13,15,33.27
669,07/14/2018 ,14,45,40.26
670,01/07/2018 ,02,15,-2.95
671,12/02/2018 ,23,05,32.84
672,05/26/2018 ,19,00,32.65
673,06/10/2018 ,18,15,24.36
674,11/08/2018 ,14,05,32.93
675,01/05/2018 ,16,10,22.28
676,06/17/2018 ,19,30,30.93
677,12/08/2018 ,18,40,44.86
678,04/02/2018 ,02,20,20.42
679,04/18/2018 ,03,50,17.32
680,03/30/2018 ,11,00,18.02
681,09/04/2018 ,01,10,18.78
682,05/21/2018 ,09,55,26.18
683,05/12/2018 ,15,55,34.89
684,03/13/2018 ,04,25,17.88
685,08/26/2018 ,21,45,18.69
686,05/25/2018 ,13,20,35.03
687,10/19/2018 ,14,20,35.79
688,11/06/2018 ,14,40,130.63
689,09/06/2018 ,11,55,42.29
690,09/30/2018 ,01,30,18.08
691,04/27/2018 ,14,00,28.56
692,09/04/2018 ,13,15,33.99
693,07/17/2018 ,19,20,33.99
694,01/01/2018 ,10,30,42.72
695,01/04/2018 ,15,00,23.63
696,12/10/2018 ,00,20,30.84
697,12/24/2018 ,12,05,17.76
698,09/13/2018 ,14,15,31.43
699,10/07/2018 ,21,30,22.01
700,12/10/2018 ,22,10,27.93
701,01/13/2018 ,12,00,28.88
702,12/01/2018 ,00,15,-7.38
703,04/27/2018 ,20,05,27.11
704,06/10/2018 ,04,50,15.71
705,08/17/2018 ,19,05,35.85
706,09/05/2018 ,15,25,33.34
707,04/26/2018 ,12,30,19.19
708,04/25/2018 ,06,00,-2.81
709,01/14/2018 ,15,00,19.29
710,06/23/2018 ,01,45,16.58
711,07/17/2018 ,16,00,53.92
712,12/06/2018 ,17,25,45.72
713,07/28/2018 ,17,05,128.38
714,06/07/2018 ,17,40,23.08
715,03/03/2018 ,14,15,14.74
716,01/23/2018 ,02,05,22.23
717,08/08/2018 ,16,55,31.74
718,12/11/2018 ,10,00,32.04
719,07/10/2018 ,10,50,34.38
720,06/19/2018 ,13,25,28.99
721,03/30/2018 ,06,25,17.43
722,10/05/2018 ,15,30,32.85
723,11/18/2018 ,20,00,44.44
724,08/22/2018 ,22,45,25.66
725,10/25/2018 ,20,20,45.0
726,02/27/2018 ,11,45,19.47
727,11/24/2018 ,21,55,0.93
728,07/10/2018 ,12,55,34.22
729,04/15/2018 ,08,05,19.61
730,01/17/2018 ,12,25,56.88
731,01/28/2018 ,08,10,26.56
