time_stamp,power,npower,speed,npreds_12hr,npreds_24hr,npreds_168hr,preds_12hr,preds_24hr,preds_168hr
2018-07-05 13:00:00,98,0.9514563106796116,6.464424006162029,0.39889926,0.58647823,0.3381918,41.645084,61.22833,35.307224
2018-07-05 14:00:00,81,0.7864077669902912,5.44013349044078,0.4061976,0.5792507,0.31092834,42.407032,60.473774,32.46092
2018-07-05 15:00:00,57,0.5533980582524272,2.4983094335678664,0.16113308,0.23519722,0.0654411,16.822294,24.55459,6.8320513
2018-07-05 16:00:00,7,0.0679611650485436,2.218463533858269,0.18444693,0.2250475,0.07133738,19.25626,23.494959,7.4476223
2018-07-05 17:00:00,16,0.1553398058252427,1.6159769180390289,-0.11994869,-0.12305465,-0.08442415,-12.522644,-12.846906,-8.813882
2018-07-05 18:00:00,2,0.0194174757281553,1.2397365413044588,-0.061724678,-0.090015054,-0.058378294,-6.4440565,-9.397572,-6.094694
2018-07-05 19:00:00,1,0.0097087378640776,2.066749778826215,-0.016829133,-0.048968,-0.022138521,-1.7569615,-5.112259,-2.3112617
2018-07-05 20:00:00,1,0.0097087378640776,2.323565301994829,-0.13515979,-0.16847673,-0.06937292,-14.1106825,-17.58897,-7.242533
2018-07-05 21:00:00,2,0.0194174757281553,2.356094571906359,0.25810245,0.24353504,0.13264273,26.945896,25.425058,13.847901
2018-07-05 22:00:00,2,0.0194174757281553,3.2127651457609394,0.24188536,0.2418094,0.14466259,25.252832,25.244902,15.102775
2018-07-05 23:00:00,3,0.029126213592233,3.119337435495363,0.15996444,0.17424712,0.104540996,16.700289,18.191399,10.914081
2018-07-06 00:00:00,8,0.0776699029126213,3.303217442399266,0.21587592,0.23949334,0.13373567,22.537447,25.003105,13.962005
2018-07-06 01:00:00,0,0.0,2.0678309343163006,0.104460716,0.11374301,0.055141315,10.905699,11.87477,5.7567534
2018-07-06 02:00:00,0,0.0,2.031213531209901,-0.03866794,-0.039518613,-0.02148594,-4.036933,-4.1257434,-2.243132
2018-07-06 03:00:00,0,0.0,1.453731901531244,0.080901146,0.07548182,0.030016288,8.44608,7.880302,3.1337006
2018-07-06 04:00:00,0,0.0,0.6879696782251987,0.048686028,0.03545797,0.011521287,5.0828214,3.701812,1.2028224
2018-07-06 05:00:00,2,0.0194174757281553,1.2451857062191247,-0.1780403,-0.19966324,-0.09340514,-18.587408,-20.844843,-9.751497
2018-07-06 06:00:00,3,0.029126213592233,2.0789037621811057,0.022715583,0.005605392,0.008887768,2.371507,0.58520293,0.92788297
