gmt,ERA5 wind speed (m/s),MERRA2 wind speed (m/s),HRRR wind speed (m/s),MERRA2 air density (kg/m^3),ERA5 density-corrected wind speed (m/s),MERRA2 density-corrected wind speed (m/s),HRRR density-corrected wind speed (m/s),ERA5 CF (raw),ERA5 CF (density adjusted),ERA5 CF (density and loss adjusted),MERRA2 CF (raw),MERRA2 CF (density adjusted),MERRA2 CF (density and loss adjusted),HRRR CF (raw),HRRR CF (density adjusted),HRRR CF (density and loss adjusted)
2018080707,4.494325846050326,1.6335201114674354,7.111498940201884,1.0774093001860512,4.30605361950687,1.5650901669052797,6.813590469522155,0.08515052313102989,0.07317772709925663,0.06805528620230866,0.0,0.0,0.0,0.37966318716005465,0.33219577734367434,0.3089420729296171
2018080708,4.699419336997604,1.5510014460860622,7.168834265839457,1.0799956494483514,4.5061554748593124,1.4872164317774272,6.8740155876385405,0.09938569222448623,0.08593725028687071,0.07992164276678976,0.0,0.0,0.0,0.389271228886803,0.34149542723360904,0.3175907473272564
2018080709,4.681156568711009,1.3076741606156423,5.916682136689006,1.0825819987106515,4.492224008418625,1.2548961294673833,5.677883479110954,0.09806613847201273,0.08501117347857301,0.0790603913350729,0.0,0.0,0.0,0.21261124563739453,0.18622766806006474,0.1731917312958602
2018080710,4.072497391910576,0.9614079452199984,2.5430875524220204,1.085832264231811,3.9120377111838383,0.9235276970350444,2.442887852470748,0.05970780357812555,0.05129822371078108,0.047707348051026395,0.0,0.0,0.0,0.0,0.0,0.0
2018080711,3.733266199142139,1.215203755179876,1.5897036810482037,1.0890825297529705,3.5897471481823042,1.168487319661209,1.5285902346875286,0.042701893773074096,0.036368789974045024,0.03382297467586187,0.0,0.0,0.0,0.0,0.0,0.0
2018080712,4.173908024769882,2.180251091671262,2.630296005489098,1.09233279527413,4.017437873863789,2.098518524661526,2.531692296335908,0.06537347579254504,0.0567465067698274,0.052774251295939476,0.0,0.0,0.0,0.0,0.0,0.0
2018080713,4.4848203444795,3.273513173126761,4.361341924777325,1.0940995131606308,4.319020802958291,3.152494505358689,4.200107262961851,0.08452135627245272,0.07396978155183764,0.06879189684320901,0.024119178330089808,0.020023708891922398,0.01862204926948783,0.07658796641548427,0.06688243427753093,0.06220066387810377
2018080714,4.318239713919614,3.5668062926862567,5.934904032018325,1.095866231047132,4.1608356879515584,3.4367927437609214,5.718571023602313,0.07392193713775641,0.06462756720568819,0.06010363750129001,0.03540220646035874,0.03015744560643907,0.028046424413988334,0.21471410104607047,0.19057062305865924,0.1772306794445531
2018080715,3.6459824618282792,2.830483674592735,4.541052392425319,1.0976329489336327,3.514969741617193,2.728774637425422,4.377876723649785,0.038791185195301336,0.0332638477438556,0.03093537840178571,0.010565209850087687,0.0,0.0,0.08828225148047841,0.07762475806540814,0.07219102500082956
2018080716,3.6433287298456194,2.579397379115849,4.607997658350885,1.0895195962528663,3.503735748133924,2.4805685887790045,4.431443693406589,0.03867517138937271,0.03280872768846943,0.03051211675027657,0.0,0.0,0.0,0.09288289910246195,0.0810376301929252,0.07536499607942043
2018080717,4.3120896903588894,2.8741902095444405,5.621526893918581,1.0814062435721,4.136554146185501,2.7571883429974076,5.392687084622498,0.07354582885774308,0.06325436010227947,0.058826554895119905,0.011738054695516142,0.008664124843779542,0.008057636104714973,0.18031392334656737,0.15749266509430382,0.14646817853770255
2018080718,4.981688132124408,3.2434342884524474,5.677473246296624,1.073292890891334,4.7669133463692495,3.1036005843068115,5.432701179526558,0.12112072640069949,0.10435239834301879,0.09704773045900747,0.023071655013187087,0.01845734493210327,0.01716533078685604,0.18618419466947067,0.16134701023842957,0.15005271952173949
2018080719,5.500505369410458,3.5512742724869963,6.393569125196546,1.0697222103754631,5.257519608073828,3.3943961267780094,6.111132120374431,0.16800900727859136,0.14489043251739053,0.13474810224117317,0.034754849232006446,0.028531668356529316,0.026534451571572262,0.27200226057645405,0.2357230373063921,0.21922242469494463
2018080720,5.617067627319301,3.653028811008888,6.4893395888471375,1.0661515298595927,5.362952304255668,3.487766318537651,6.195762809021806,0.17985100795241582,0.15466528292665638,0.14383871312179042,0.03910005363453717,0.03216682476436561,0.029915147030860016,0.2850564927118642,0.24625184275204304,0.2290142137594
2018080721,5.394248616823613,3.456854272964457,6.131842998253365,1.062580849343722,5.144457583746826,3.2967780025925957,5.847896241994976,0.15764201153149515,0.13483600350451974,0.12539748325920336,0.0309411101540793,0.024943047585966216,0.023197034254948578,0.238273000030782,0.2047887745380197,0.1904535603203583
2018080722,5.004268471821053,3.1030533306529726,5.814669368637608,1.060678897447887,4.769687005301567,2.9575937484799444,5.542099326582175,0.12297068748606232,0.10455955543864714,0.09724038655794184,0.018440093505140975,0.014066495112516675,0.013081840454640507,0.2010751831167903,0.17217785142514952,0.16012540182538904
2018080723,4.985201186573733,2.68393248679937,4.5050774619502185,1.0587769455520517,4.748671771979573,2.556589786644632,4.291328147750765,0.1214074400259868,0.1029960070082907,0.09578628651771035,0.0,0.0,0.0,0.08586538581707504,0.07228401688756825,0.06722413570543846
2018080800,4.460199941024145,2.2139620052483964,4.30831139073056,1.0568749936562165,4.246034372058258,2.1076541179804535,4.101439059337686,0.0829040980564979,0.06957312173591235,0.06470300321439848,0.0,0.0,0.0,0.07331529403498349,0.06129658821140249,0.05700582703660431
2018080801,3.751872286269976,1.8577385979111027,3.454072991430089,1.0574123521059076,3.5723237432043904,1.7688351829755016,3.2887758475153044,0.04355953818974867,0.03563353896249222,0.03313919123511776,0.0,0.0,0.0,0.030831911200396522,0.024658320359987496,0.02293223793478837
2018080802,2.829243148599522,1.7769580549043518,2.5412415805787845,1.0579497105555986,2.6943039304062593,1.6922070037938435,2.4200384410418896,0.01053236746519648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018080803,2.191364351364994,2.0783726330080987,1.5970119227463333,1.05848706900529,2.0872016771934367,1.9795808226711944,1.5211007524046691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018080804,1.9897533365171085,2.7078430711248624,0.3986664826712789,1.0610564509483735,1.896706105030512,2.581215666388675,0.3800235625573753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018080805,2.057283245534504,3.4233475035977903,0.7363036603379791,1.063625832891457,1.9626597611338612,3.265892729293971,0.702437823891124,0.0,0.0,0.0,0.02963741079581861,0.023851913204171238,0.02218227927987925,0.0,0.0,0.0
2018080806,2.1589471629009087,4.166555164919605,1.1504514365494778,1.0661952148345406,2.0613048598806305,3.9781151470466622,1.098420182747629,0.0,0.0,0.0,0.06495334928135343,0.05468024334232857,0.05085262630836557,0.0,0.0,0.0
2018080807,2.197766999173722,4.792021455586252,,1.0688136877778798,2.1000853917910254,4.579036021475166,,0.0,0.0,0.0,0.10623649314896189,0.0908760186026889,0.08451469730050068,,,
2018080808,2.031281659944318,5.206055443145629,3.192551113603004,1.0714321607212187,1.9425834178808257,4.97872706471447,3.0531447097258604,0.0,0.0,0.0,0.14025942743699682,0.1208793778692594,0.11241782141841124,0.02134440704021734,0.016892427027650925,0.01570995713571536
