window_index,horizon_start_hour,horizon_end_hour,executed_until_hour,initial_soc,soc_after_execution,planned_terminal_soc,objective,runtime_seconds,mip_gap,status
186,4464,4487,4487,1440.0,1440.0,1440.0,1152.8179552790366,0.0008339881896972656,0.0,2
187,4488,4511,4511,1440.0,1440.0,1440.0,1126.8198681769466,0.0007638931274414062,0.0,2
188,4512,4535,4535,1440.0,1440.0,1440.0,1333.6832730480107,0.000823974609375,0.0,2
189,4536,4559,4559,1440.0,1440.0,1440.0,1183.859307217275,0.0006241798400878906,0.0,2
190,4560,4583,4583,1440.0,1440.0,1440.0,1137.9138501099228,0.0008580684661865234,0.0,2
191,4584,4607,4607,1440.0,1440.0,1440.0,1235.8237203490066,0.0007741451263427734,0.0,2
192,4608,4631,4631,1440.0,1440.0,1440.0,1321.6843102452692,0.0008611679077148438,0.0,2
193,4632,4655,4655,1440.0,1440.0,1440.0,1263.3740978204576,0.0007879734039306641,0.0,2
194,4656,4679,4679,1440.0,1440.0,1440.0,2345.2701818325213,0.0009551048278808594,0.0,2
195,4680,4703,4703,1440.0,1440.0,1440.0,2484.9172451177214,0.0009350776672363281,0.0,2
196,4704,4727,4727,1440.0,1440.0,1440.0,1882.98630916979,0.0008299350738525391,0.0,2
197,4728,4751,4751,1440.0,1440.0,1440.0,1932.437285225824,0.000782012939453125,0.0,2
198,4752,4775,4775,1440.0,1440.0,1440.0,6071.656442891544,0.0008230209350585938,0.0,2
199,4776,4799,4799,1440.0,1440.0,1440.0,7353.080058172617,0.0009241104125976562,0.0,2
200,4800,4823,4823,1440.0,1440.0,1440.0,1217.8622536053583,0.0008530616760253906,0.0,2
201,4824,4847,4847,1440.0,1440.0,1440.0,1167.406382191452,0.0006921291351318359,0.0,2
202,4848,4871,4871,1440.0,1440.0,1440.0,4104.204804865838,0.0008189678192138672,0.0,2
203,4872,4895,4895,1440.0,1440.0,1440.0,745.7977642335036,0.0007841587066650391,0.0,2
204,4896,4919,4919,1440.0,1440.0,1440.0,600.6606914962592,0.0007328987121582031,0.0,2
205,4920,4943,4943,1440.0,1440.0,1440.0,1215.1151629385708,0.0008189678192138672,0.0,2
206,4944,4967,4967,1440.0,1440.0,1440.0,1556.3010207735465,0.0007839202880859375,0.0,2
207,4968,4991,4991,1440.0,1440.0,1440.0,1363.896381257982,0.0006768703460693359,0.0,2
208,4992,5015,5015,1440.0,1440.0,1440.0,4794.170737658703,0.000759124755859375,0.0,2
209,5016,5039,5039,1440.0,1440.0,1440.0,3083.097243814139,0.0007069110870361328,0.0,2
210,5040,5063,5063,1440.0,1440.0,1440.0,1104.1973305105626,0.0006461143493652344,0.0,2
211,5064,5087,5087,1440.0,1440.0,1440.0,870.8868297973521,0.0006749629974365234,0.0,2
212,5088,5111,5111,1440.0,1440.0,1440.0,2344.6589300871797,0.0007598400115966797,0.0,2
213,5112,5135,5135,1440.0,1440.0,1440.0,2342.914341083145,0.0009140968322753906,0.0,2
214,5136,5159,5159,1440.0,1440.0,1440.0,1941.1709769563554,0.0007710456848144531,0.0,2
215,5160,5183,5183,1440.0,1440.0,1440.0,1959.0902132414788,0.0008180141448974609,0.0,2
216,5184,5207,5207,1440.0,1440.0,1440.0,3111.9187382447067,0.0010671615600585938,0.0,2
217,5208,5231,5231,1440.0,1440.0,1440.0,2951.007989186513,0.0009691715240478516,0.0,2
218,5232,5255,5255,1440.0,1440.0,1440.0,2946.8774554332845,0.0007998943328857422,0.0,2
219,5256,5279,5279,1440.0,1440.0,1440.0,1048.327980220074,0.0007240772247314453,0.0,2
220,5280,5303,5303,1440.0,1440.0,1440.0,1472.8815676937068,0.0008020401000976562,0.0,2
221,5304,5327,5327,1440.0,1440.0,1440.0,712.1304788994028,0.0007541179656982422,0.0,2
222,5328,5351,5351,1440.0,1440.0,1440.0,461.1895773938435,0.0007121562957763672,0.0,2
223,5352,5375,5375,1440.0,1440.0,1440.0,1314.774586654658,0.0008151531219482422,0.0,2
224,5376,5399,5399,1440.0,1440.0,1440.0,1143.145177780242,0.0007090568542480469,0.0,2
225,5400,5423,5423,1440.0,1440.0,1440.0,1330.9170633515766,0.0007879734039306641,0.0,2
226,5424,5447,5447,1440.0,1440.0,1440.0,5503.445277827044,0.0008089542388916016,0.0,2
227,5448,5471,5471,1440.0,1440.0,1440.0,5324.030089531737,0.0008540153503417969,0.0,2
228,5472,5495,5495,1440.0,1440.0,1440.0,2362.4821308568135,0.0009770393371582031,0.0,2
229,5496,5519,5519,1440.0,1440.0,1440.0,10648.759770688519,0.0007939338684082031,0.0,2
230,5520,5543,5543,1440.0,1440.0,1440.0,4694.835832029332,0.0007882118225097656,0.0,2
231,5544,5567,5567,1440.0,1440.0,1440.0,4960.794648773487,0.000993967056274414,0.0,2
232,5568,5591,5591,1440.0,1440.0,1440.0,3234.5866612927002,0.0009760856628417969,0.0,2
233,5592,5615,5615,1440.0,1440.0,1440.0,655.8063399087893,0.0007579326629638672,0.0,2
234,5616,5639,5639,1440.0,1440.0,1440.0,596.244729165004,0.0006601810455322266,0.0,2
235,5640,5663,5663,1440.0,1440.0,1440.0,983.7754578507012,0.0007419586181640625,0.0,2
236,5664,5687,5687,1440.0,1440.0,1440.0,573.2850165562116,0.0007488727569580078,0.0,2
237,5688,5711,5711,1440.0,1440.0,1440.0,784.8270461603686,0.0008039474487304688,0.0,2
238,5712,5735,5735,1440.0,1440.0,1440.0,1089.9309131099374,0.0008480548858642578,0.0,2
239,5736,5759,5759,1440.0,1440.0,1440.0,393.94940557690654,0.0007100105285644531,0.0,2
240,5760,5783,5783,1440.0,1440.0,1440.0,1254.6942055012598,0.0006811618804931641,0.0,2
241,5784,5807,5807,1440.0,1440.0,1440.0,1968.824183748346,0.0009610652923583984,0.0,2
242,5808,5831,5831,1440.0,1440.0,1440.0,3018.4173854091346,0.0010921955108642578,0.0,2
243,5832,5855,5855,1440.0,1440.0,1440.0,4674.793994330884,0.0011310577392578125,0.0,2
244,5856,5879,5879,1440.0,1440.0,1440.0,2472.5693094641397,0.0010371208190917969,0.0,2
245,5880,5903,5903,1440.0,1440.0,1440.0,1051.281283388971,0.0007569789886474609,0.0,2
246,5904,5927,5927,1440.0,1440.0,1440.0,1127.3913635677663,0.0007290840148925781,0.0,2
247,5928,5951,5951,1440.0,1440.0,1440.0,732.2324437471682,0.0007760524749755859,0.0,2
248,5952,5975,5975,1440.0,1440.0,1440.0,847.0113064213164,0.0007610321044921875,0.0,2
249,5976,5999,5999,1440.0,1440.0,1440.0,1841.156877789659,0.0009131431579589844,0.0,2
250,6000,6023,6023,1440.0,1440.0,1440.0,739.1479653350225,0.0006630420684814453,0.0,2
251,6024,6047,6047,1440.0,1440.0,1440.0,635.5317426616743,0.0007519721984863281,0.0,2
252,6048,6071,6071,1440.0,1440.0,1440.0,674.21305206727,0.0007460117340087891,0.0,2
